layer,r2_mean,r2_std,spearman_mean,spearman_std,pearson_mean,pearson_std,loss_mean,loss_std
4,-267.65181167794543,268.7822675073014,0.06911539688250075,0.43770935576758796,0.009298858,0.09885262,1.1897568674597148,1.1903346255032228
5,-12382.258882473614,10761.989171524021,0.051230930428026095,0.25324788315452507,0.020303102,0.16089725,54.840750889864886,47.660763108125906
6,-377.2152005107459,576.9700193581446,-0.022643653212512837,0.10237395901281003,0.0048491494,0.02437901,1.6749715062580137,2.5551811296884797
7,-0.9227091155233628,1.334783737283632,0.3433688932589995,0.2617791629265698,0.2711831,0.099543944,0.0085149484925256,0.00591125025225099
8,-9.044413998264341,8.03163987703787,0.07092688913950175,0.13087386936648085,0.15366465,0.054151803,0.044482895211493324,0.035569083489021804
9,-61.74362116334323,85.10322351374113,-0.05378738547710743,0.22381107499653025,-0.08360133,0.22911169,0.27786767100711,0.3768898590818968
10,-87.0239829287193,55.21814531321016,0.005225458433656803,0.21935416147263412,-0.06810761,0.114913866,0.38982478679899607,0.24454019669579322
11,-14.854256641921829,2.189749459793818,0.02936975611942493,0.16311130898887924,-0.022299225,0.115617976,0.07021248248503541,0.00969756902113106
12,-310.31415025842745,393.2967799828824,0.0196209264878129,0.23749014102772423,-0.05649079,0.17270386,1.3786921434847021,1.7417620774468061
13,-77.79450955221374,106.17879993424656,-0.05321392491054202,0.16971952246888278,-0.012673329,0.17027426,0.3489509524082719,0.47022556892090456
14,-49.53117275991681,35.419598715125545,-0.18539926522614358,0.09052446961164838,-0.072514184,0.27308074,0.2237833742537997,0.15685994655624097
15,-535.1201361990555,840.5018523817414,-0.11686804779930295,0.16115193765520297,-0.047617096,0.06333652,2.3742725984168582,3.7222637003606414
